Kod;Produktgrupp;Artikelnr;RSK-nr;Benämning;Rabatt;Rabatt2;NtoPris;ArtRabatt
V;308800;;;Ändhylsor SOLAR;83,15;;;;
V;308850;;;Kabelskor NKT Cables HV;57,66;;;;
V;308994;;;Solar Netto;50,00;;;;
V;308995;;;Solar Plus;50,00;;;;
V;309100;;;Elmätare AX ABB;50,33;;;;
V;309104;;;Tillbehör elmätare (73-42) ABB;48,94;;;;
V;309200;;;Elmätare Eltako;56,49;;;;
V;309270;;;Energimätare Wago;50,53;;;;
V;309300;;;Energimätare Garo;46,72;;;;
V;309500;;;Elmätare Hager;52,96;;;;
V;309600;;;Elmätare iEM UF =S=O;68,84;;;;
V;309602;;;Kombinationsinstrument PM UF =S=O;68,84;;;;
V;309710;;;Elmätare I 7KT SIE;39,81;;;;
V;309800;;;Elmätare 110 Carlo Gavazzi;35,86;;;;
V;309994;;;Solar Netto;50,00;;;;
V;309995;;;Solar Plus;50,00;;;;
V;311110;;;Defem tillbehör C1-C4 - Wibe SO;78,98;;;;
V;311112;;;Trådstegar C1 - Wibe D1;78,57;;;;
V;311114;;;Trådstegar C4 - Wibe MT;78,57;;;;
V;311120;;;DMT-Kanaler Thorsman =S=;71,63;;;;
V;311122;;;Tbh Tas kanaler - Wibe IS;68,00;;;;
V;311124;;;Optiline Installationskanaler =S=;68,34;;;;
V;311126;;;TIR-Kanaler Thorsman =S=;70,10;;;;
V;311128;;;TMK-Kanaler Thorsman =S=;68,47;;;;
V;311129;;;Mini-Kanaler 7D =S=;68,98;;;;
V;311132;;;Optiline Förinstallerat 7D =S=;66,12;;;;
V;311133;;;Optiline Förinstallerat 7D =S=;66,12;;;;
V;311140;;;Thorsman Förinstallerat J4 =S=;65,90;;;;
V;311141;;;Thorsman Förinstallerat JH JQ =S=;65,90;;;;
V;311142;;;Cyb Anslutningssystem  7B =S=;67,14;;;;
V;311145;;;Kanaler Stago Wibe IS;40,43;;;;
V;311146;;;Kanaler Stago Wibe IS;47,87;;;;
V;311147;;;Kanaler Stago tbh Wibe IS;40,43;;;;
V;311148;;;Kanaler Stago tbh  Wibe IS;48,94;;;;
V;311149;;;Kanaler Stago apparater Wibe IS;40,43;;;;
V;311150;;;Kanaler Plast Thorsman J1 =S=;67,14;;;;
V;311152;;;Kanaler Metall Thorsman J1 =S=;66,13;;;;
V;311154;;;Tbh Kanaler Thorsman J1 =S=;66,73;;;;
V;311156;;;Uttagsboxar Thorsman J1 =S=;68,16;;;;
V;311158;;;Uttagssyst.CAN/CYB Thorsman 7E =S=;67,10;;;;
V;311160;;;Lätta stegar Fzs C2 - Wibe CL;82,66;;;;
V;311162;;;Tunga stegar Fzs C2 - Wibe CL;83,66;;;;
V;311164;;;Lätta stegar Z+ C4 - Wibe CL;82,66;;;;
V;311166;;;Tunga stegar Fzv C4 - Wibe CL;83,01;;;;
V;311168;;;Förstärkta stegar KHZV/KHZPV C4 -Wibe CL;83,01;;;;
V;311174;;;Kabelränna Fzs C2 - Wibe CT;80,92;;;;
V;311175;;;Kabelränna Fzv C4 - Wibe SO;80,92;;;;
V;311176;;;Kabelränna Fzv C4 - Wibe CT;80,92;;;;
V;311177;;;kabelrännor C5-I - Wibe CT;83,67;;;;
V;311178;;;Kabelstegar C5-I - Wibe CL;81,84;;;;
V;311181;;;Övriga tbh Fzs C2 - Wibe SO;82,29;;;;
V;311183;;;Övriga tbh Fzs vit/svart C2 - Wibe SO;82,29;;;;
V;311185;;;Övriga tbh Fzv C4 - Wibe SO;82,65;;;;
V;311187;;;Tillbehör C5-I - Wibe SO;83,67;;;;
V;311189;;;CLX3 Fzs C2 - Wibe SO;82,29;;;;
V;311190;;;Unica system + =S=;39,38;;;;
V;311192;;;Syrafast Rostfritt - Wibe SS;78,57;;;;
V;311196;;;Stago fiberränna - Wibe SO;80,92;;;;
V;311197;;;Stago fiberränna tbh - Wibe CT;80,92;;;;
V;311200;;;Kabelstegar Mp 001;73,08;;;;
V;311202;;;Rännor MP 002;74,37;;;;
V;311204;;;Tillbehör stegar MP 010;73,47;;;;
V;311205;;;Tillbehör RF/SF MP 029;66,33;;;;
V;311206;;;Profilskenor stegar MP 004;73,47;;;;
V;311208;;;Tbh Stegar & Rännor MP 009;73,98;;;;
V;311210;;;Tbh rännor MP 011;73,78;;;;
V;311220;;;Trådstegar MP 003;72,45;;;;
V;311222;;;Tbh Trådstegar MP 012;73,47;;;;
V;311226;;;Kabelstegar RR o SF MP 028;66,73;;;;
V;311230;;;Uttagsstavar MP 021;78,10;;;;
V;311233;;;Kanaler ALU MP  022 023;65,65;;;;
V;311234;;;Uttagssystem MP 024;61,58;;;;
V;311237;;;Tillbehör uttagssystem 034;51,02;;;;
V;311240;;;Golvboxar MP 025;64,69;;;;
V;311250;;;Potentialutjämningsmtrl stegar MP 006;73,49;;;;
V;311300;;;Inst KanalerTbh Hager;61,33;;;;
V;311302;;;F.Bänkskanal &Tbh Hager;61,64;;;;
V;311310;;;Uttagsstavar Hager;70,31;;;;
V;311312;;;Golvboxar Hager;61,22;;;;
V;311401;;;Skruv- och slagsystem OBO;70,00;;;;
V;311402;;;Trådstegar tbh OBO;70,41;;;;
V;311406;;;Kabelrännsystem OBO;75,41;;;;
V;311408;;;Trådstegar OBO;75,41;;;;
V;311502;;;E.L System Kanaler;35,82;;;;
V;311600;;;Tbh Kanaler Rutab;68,67;;;;
V;311900;;;Kabelvagnar Inomec;63,64;;;;
V;311902;;;Elit Installationssystem;62,26;;;;
V;311904;;;KB SYSTEM DWP;38,08;;;;
V;311906;;;Optomize Kanaler;26,41;;;;
V;311912;;;Uttagsstavar +Tbh 52 Elko;61,22;;;;
V;311990;;;Solar Plus Trådstegar o Tbh;50,00;;;;
V;311991;;;Solar Plus Uttagslister;50,00;;;;
V;311994;;;Solar Netto;50,00;;;;
V;311995;;;Solar Plus Installationskanaler o Tbh;50,00;;;;
V;312200;;;Snabbkoppling Ensto;55,67;;;;
V;312300;;;Snabbkoppling Wieland;68,50;;;;
V;312400;;;Snabbkoppling Wago;51,47;;;;
V;312402;;;Tillbehör elbilsladd Wago;34,33;;;;
